UserId;UserName;IsControlGroup;CanNowSaveGame;FirstLogin;Attempts;Deaths;HighScore
1;sisterka;1;0;0;4;0;0
2;Varus_34;0;1;0;9;5;2883
3;Karola;1;0;0;1;0;0
4;WA;0;0;0;7;7;3474
5;AdminTest;1;0;0;2;1;5119
6;m;0;0;0;3;3;4101
7;Xtraluis;1;0;0;3;3;13972
8;e;0;0;0;7;7;837
9;Tahnan;1;0;0;1;0;0
10;okol;0;0;0;1;1;769
11;Prrrp;1;0;0;1;0;0
12;FilipTq;0;0;1;0;0;0
13;urmom48;1;0;1;0;0;0
14;Ella;0;0;0;4;4;1334
15;No;1;0;0;2;0;0
16;ziomas;0;0;0;1;1;7548
17;JustTomek;1;0;0;1;3;11411
18;Maxos;0;0;0;4;4;7890
19;WildKOT;1;0;0;1;0;0
20;CreatureCreator;0;0;0;1;1;831
21;Kore;1;0;0;1;17;14005
22;Dode;0;0;0;3;3;2874
23;Launceleyn;1;0;0;1;2;8103
24;Starnger;0;0;1;0;0;0
25;Lilith123;1;0;0;1;0;0
26;asdf;0;0;0;2;1;769
27;RunicAcorn;1;0;0;1;0;0
28;jdzjenjdjnd;0;0;0;1;1;830
29;RinMul;1;0;0;2;0;0
30;max;0;0;0;2;2;826
31;shusako;1;0;0;1;0;0
32;testdude20;0;0;0;3;2;835
33;afairma;1;0;0;1;0;0
34;isau;0;0;0;1;1;2412
35;gnovos;1;0;0;1;0;0
36;Giik;0;0;0;1;1;834
37;Jordian;1;0;0;2;3;11557
38;Bread;0;0;0;4;4;3395
39;Peritract;1;0;0;1;0;0
40;2ndPerk;0;0;0;8;6;8095
41;armahillo;1;0;0;1;12;8062
42;random123;0;0;0;2;2;6254
43;GrokAutumns;1;0;0;2;0;0
44;Joseph10545;0;0;0;2;1;7254
45;neonfox;1;0;0;1;0;0
46;Frankee;0;0;0;1;1;2940
47;dddd;1;0;1;0;0;0
48;2345;0;0;0;2;2;2706
49;wertgwertgwrtgr;1;0;0;1;0;0
50;testname;0;0;0;1;1;832
51;OneEyedBunny;1;0;0;4;83;15195
52;yubz;0;0;0;2;2;2918
53;BanishedPest;1;0;0;1;0;0
54;Lomudru;0;0;0;1;1;1334
55;syra;1;0;0;1;0;0
56;f;0;0;1;0;0;0
